Author	DOB	DOB_WIP	POB	POB_WIP	DOD	DOD_WIP	POD	POD_WIP	Link	identifier	givenName	familyName	alternateNames	occupation	birthPlace	birthPlace_WIP	birthDate	birthDate_WIP	deathPlace	deathPlace_WIP	deathDate	deathDate_WIP	gender	geb_plaats	geb_plaats_WIP	birthCountry	birthCountry_WIP	overl_plaats	overl_plaats_WIP	deathCountry	deathCountry_WIP	period	geboortedatum	geboortedatum_WIP	sterfdatum	sterfdatum_WIP	language	category	profession	organisation
H.A.C. Spoelstra-Spruyt	20ste eeuw	19xx-xx-xx			?				https://www.dbnl.org/auteurs/auteur.php?id=spoe005	spoe005	Henriette Adriana Catharina	Spoelstra-Spruyt	H.A.C. Spoelstra-Spruyt				19xx	19xx-xx-xx			000?		female									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx	?		nl	secundair		
L.A. te Winkel	13 september 1809	1809-09-13	Arnhem	Arnhem	24 april 1868	1868-04-24	Leiden	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=wink003	wink003	Lamert Allard	te Winkel	L.A. te Winkel	journalist/leraar/hoogleraar/redacteur/onderwijzer (basisschool)/docent	Arnhem	Arnhem	1809-09-13	1809-09-13	Leiden	Leiden	1868-04-24	1868-04-24	male	Arnhem	Arnhem			Leiden	Leiden			Negentiende Eeuw	13 september 1809	1809-09-13	24 april 1868	1868-04-24	nl	taalkunde	journalist/leraar/redacteur/hoogleraar/onderwijzer (basisschool)/docent	
Th.H. d' Angremond	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=angr001	angr001	Thomas Hendrik	d' Angremond	Th.H. d' Angremond				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				taalkunde		
C.L. Thijssen-Schoute	19 mei 1904	1904-05-19	Wageningen	Wageningen	11 februari 1961	1961-02-11	Utrecht	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=thij005	thij005	Caroline Louise	Thijssen-Schoute	C.L. Thijssen-Schoute	kunsthistoricus/kunsthandelaar	Wageningen	Wageningen	5/19/1904	1904-05-19	Utrecht	Utrecht	2/11/1961	1961-02-11	female	Wageningen	Wageningen			Utrecht	Utrecht			Twintigste Eeuw	19 mei 1904	1904-05-19	11 februari 1961	1961-02-11		nonfictie	kunsthistoricus/kunsthandelaar	
M. Mendel	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=mend004	mend004	M.	Mendel	M. Mendel				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				taalkunde		
D.H. Smit	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=smit069	smit069	Dirk Harry	Smit	D.H. Smit				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				secundair		
Annick De Vylder	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=vyld002	vyld002	Annick	De Vylder	Annick De Vylder				19xx	19xx-xx-xx					female									Eenentwintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				taalkunde/nonfictie		
Eugène de Bock	23 april 1889	1889-04-23	Borgerhout	Borgerhout	22 juli 1981	1981-07-22	Schoten	Schoten	https://www.dbnl.org/auteurs/auteur.php?id=bock002	bock002	Eugène Karel Marie	de Bock	Eugène de Bock	uitgever/boekdrukker	Borgerhout	Borgerhout	1889-04-23	1889-04-23	Schoten	Schoten	7/22/1981	1981-07-22	male	Borgerhout	Borgerhout			Schoten	Schoten			Twintigste Eeuw	23 april 1889	1889-04-23	22 juli 1981	1981-07-22	nl		uitgever/boekdrukker	
T. Langeveld-Bakker	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=lang050	lang050	Titia	Langeveld-Bakker	T. Langeveld-Bakker				18xx	18xx-xx-xx					female									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				secundair		
M.H. de Haan	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=haan013	haan013	Maria Helena	de Haan	M.H. de Haan				18xx	18xx-xx-xx					female									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				taalkunde		
G.G. Ellerbroek	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=elle004	elle004	Geuchien George	Ellerbroek	G.G. Ellerbroek				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				taalkunde		
M.M. Prinsen	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=prin013	prin013	Marie Madeleine	Prinsen	M.M. Prinsen				18xx	18xx-xx-xx					female									Negentiende Eeuw	?(19de eeuw)	18xx-xx-xx				secundair		
P.C. Schoonees	23 december 1891	1891-12-23	Uniondale	Uniondale	31 oktober 1970	1970-10-31	Strand	Strand	https://www.dbnl.org/auteurs/auteur.php?id=scho120	scho120	Pieter Cornelis	Schoonees	P.C. Schoonees				1891-12-23	1891-12-23			10/31/1970	1970-10-31	male	Uniondale	Uniondale	Zuid-Afrika	Zuid-Afrika	Strand	Strand	Zuid-Afrika	Zuid-Afrika	Twintigste Eeuw	23 december 1891	1891-12-23	31 oktober 1970	1970-10-31	af	secundair/taalkunde/zuidafrika		
H. van de Graaf	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=graa028	graa028	H.	van de Graaf	H. van de Graaf				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				secundair		
J.H.J. Willems	1902	1902-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=will026	will026	Jan Hendrik Jacob	Willems	J.H.J. Willems				1902	1902-xx-xx					male									Twintigste Eeuw	1902	1902-xx-xx				taalkunde		
Heike Kamerlingh Onnes	21 september 1853	1853-09-21			21 februari 1926	1926-02-21			https://www.dbnl.org/auteurs/auteur.php?id=kame003	kame003	Heike	Kamerlingh Onnes	Heike Kamerlingh Onnes	natuurwetenschapper	Groningen	Groningen	1853-09-21	1853-09-21	Leiden	Leiden	2/21/1926	1926-02-21	male	Groningen	Groningen			Leiden	Leiden			19e/20e Eeuw	21 september 1853	1853-09-21	21 februari 1926	1926-02-21		nonfictie	natuurwetenschapper	
C.M. de Beaufort	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=beau015	beau015	Cornelia Maria de	de Beaufort	C.M. de Beaufort				18xx	18xx-xx-xx					female									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				secundair		
E.J. Gras	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=gras011	gras011	Elizabeth Johanna	Gras	E.J. Gras				18xx	18xx-xx-xx					female									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				secundair		
J.J. Soons	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=soon001	soon001	J.J.	Soons	J.J. Soons				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				secundair		
B. van den Berg	14 februari 1911	1911-02-14	Kornhorn	Kornhorn	7 juli 1979	1979-07-07	Driebergen	Driebergen	https://www.dbnl.org/auteurs/auteur.php?id=berg004	berg004	Berend	van den Berg	B. van den Berg		Kornhorn	Kornhorn	2/14/1911	1911-02-14	Driebergen	Driebergen	7/7/1979	1979-07-07	male	Kornhorn	Kornhorn			Driebergen	Driebergen			Twintigste Eeuw	14 februari 1911	1911-02-14	7 juli 1979	1979-07-07	nl	taalkunde		
Isaac van der Velde	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=veld007	veld007	Isaac	van der Velde	Isaac van der Velde		Medemblik	Medemblik	18xx	18xx-xx-xx					male	Medemblik	Medemblik							Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				taalkunde		
A.C. de Jong	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=jong137	jong137	A.C.	de Jong	A.C. de Jong				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				taalkunde		
A.M. Korpershoek	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=korp002	korp002	A.M.	Korpershoek	A.M. Korpershoek	leraar/docent/hoogleraar			18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				secundair	leraar/docent/hoogleraar	
Dirk Bax	29 juni 1906	1906-06-29	Hoofddorp	Hoofddorp	24 december 1976	1976-12-24	Kaapstad	Kaapstad	https://www.dbnl.org/auteurs/auteur.php?id=bax_005	bax_005	Dirk	Bax	Dirk Bax	leraar/docent/hoogleraar	Hoofddorp	Hoofddorp	6/29/1906	1906-06-29			12/24/1976	1976-12-24	male	Hoofddorp	Hoofddorp			Kaapstad	Kaapstad	Zuid-Afrika	Zuid-Afrika	Twintigste Eeuw	29 juni 1906	1906-06-29	24 december 1976	1976-12-24	nl	secundair/zuidafrika	leraar/docent/hoogleraar	
C.G.L. Apeldoorn	1910	1910-xx-xx	Maastricht	Maastricht	2008	2008-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=apel003	apel003	Cornelis Gerrit Leopold	Apeldoorn	C.G.L. Apeldoorn	leraar/docent/hoogleraar	Maastricht	Maastricht	1910	1910-xx-xx			2008	2008-xx-xx	male	Maastricht	Maastricht							Twintigste Eeuw	1910	1910-xx-xx	2008	2008-xx-xx		taalkunde	leraar/docent/hoogleraar	
Mirjam Ernestus	1969	1969-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=erne004	erne004	Mirjam	Ernestus	Mirjam Ernestus				1969	1969-xx-xx					female									20e/21e Eeuw	1969	1969-xx-xx						
P. Hoekstra	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=hoek073	hoek073	Petrus Janus	Hoekstra	P. Hoekstra				18xx	18xx-xx-xx					male									19e/20e Eeuw	?(19de eeuw)	18xx-xx-xx				nonfictie		
Paul van der Meulen	2 maart 1900	1900-03-02	Leeuwarden	Leeuwarden	15 november 1963	1963-11-15	Den Haag	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=meul012	meul012	Paulus	van der Meulen	Paul van der Meulen		Leeuwarden	Leeuwarden	3/2/1900	1900-03-02	Den Haag	Den Haag	11/15/1963	1963-11-15	male	Leeuwarden	Leeuwarden			Den Haag	Den Haag			Twintigste Eeuw	2 maart 1900	1900-03-02	15 november 1963	1963-11-15	nl	secundair/fries		
J.A. Wartena	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=wart002	wart002	Johannes Aeschynus	Wartena	J.A. Wartena				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				taalkunde		
H. Bovenkerk	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=bove009	bove009	H.	Bovenkerk	H. Bovenkerk				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				taalkunde		
B.H. Kazemier	14 oktober 1907	1907-10-14	Groningen	Groningen	19 augustus 1983	1983-08-19	Wassenaar	Wassenaar	https://www.dbnl.org/auteurs/auteur.php?id=kaze002	kaze002	Brugt Hendrik	Kazemier	B.H. Kazemier	ambtenaar/jurist/filosoof/advocaat	Groningen	Groningen	10/14/1907	1907-10-14	Wassenaar	Wassenaar	8/19/1983	1983-08-19	male	Groningen	Groningen			Wassenaar	Wassenaar			Twintigste Eeuw	14 oktober 1907	1907-10-14	19 augustus 1983	1983-08-19	nl	secundair	advocaat/ambtenaar/filosoof/jurist	
C.W. Schoonhoven	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=scho143	scho143	Coen W.	Schoonhoven	Coen W. Schoonhoven				18xx	18xx-xx-xx			ca. -19-4~		male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx	ca. 1944	ca. 1944-xx-xx		taalkunde/suriname		
J. Karsemeijer	1897	1897-xx-xx			1967	1967-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=kars002	kars002	J.	Karsemeijer	J. Karsemeijer				1897	1897-xx-xx			1967	1967-xx-xx	male									Twintigste Eeuw	1897	1897-xx-xx	1967	1967-xx-xx	nl	nonfictie		
F.G.A. Stemvers	31 januari 1896	1896-01-31	Rotterdam	Rotterdam	17 mei 1961	1961-05-17	Arnhem	Arnhem	https://www.dbnl.org/auteurs/auteur.php?id=stem003	stem003	F.G.A.	Stemvers	F.G.A. Stemvers		Rotterdam	Rotterdam	1896-01-31	1896-01-31	Arnhem	Arnhem	5/17/1961	1961-05-17	male	Rotterdam	Rotterdam			Arnhem	Arnhem			Twintigste Eeuw	31 januari 1896	1896-01-31	17 mei 1961	1961-05-17	nl	secundair/taalkunde		
Ch.A. Thomas-Bourgeois	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=thom019	thom019	Ch.A.	Thomas-Bourgeois	Ch.A. Thomas-Bourgeois				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				secundair		
U. Tuinstra	1901	1901-xx-xx			1984	1984-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=tuin009	tuin009	Uilke S.	Tuinstra	U. Tuinstra				1901	1901-xx-xx			1984	1984-xx-xx	male									Twintigste Eeuw	1901	1901-xx-xx	1984	1984-xx-xx		taalkunde		
B.H. Peteri	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=pete030	pete030	B.H.	Peteri	B.H. Peteri				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				secundair		
H.B.A. Bockwinkel	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=bock006	bock006	Hermann Bernard Arnold	Bockwinkel	H.B.A. Bockwinkel				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				taalkunde		
G.A. Mesters	17 december 1896	1896-12-17			27 september 1982	1982-09-27			https://www.dbnl.org/auteurs/auteur.php?id=mest001	mest001	G.A.	Mesters	G.A. Mesters/P.N. Dezaire				1896-12-17	1896-12-17			9/27/1982	1982-09-27	male									Twintigste Eeuw	17 december 1896	1896-12-17	27 september 1982	1982-09-27		taalkunde		
Luc. Boreel	1 september 1780	1780-09-01	Amsterdam	Amsterdam	23 januari 1854	1854-01-23	Beverwijk	Beverwijk	https://www.dbnl.org/auteurs/auteur.php?id=bore015	bore015	Lucas	Boreel	Luc. Boreel	militair/staatsman/bestuurder/politicus/officier	Amsterdam	Amsterdam	1780-09-01	1780-09-01	Beverwijk	Beverwijk	1854-01-23	1854-01-23	male	Amsterdam	Amsterdam			Beverwijk	Beverwijk			Negentiende Eeuw	1 september 1780	1780-09-01	23 januari 1854	1854-01-23		nonfictie	militair/staatsman/bestuurder/politicus/officier	
W.H.N. van Wel	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=wel_002	wel_002	W.H.N.	van Wel	W.H.N. van Wel				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				secundair		
J.P. Prins	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=prin025	prin025	J.P.	Prins	J.P. Prins				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				secundair		
Helga Van Geertsom	1944	1944-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=geer023	geer023	Helga	Van Geertsom	Helga Van Geertsom				1944	1944-xx-xx					female									20e/21e Eeuw	1944	1944-xx-xx			nl			
Johan Moorman	22 december 1696	1696-12-22	Hulst	Hulst	22 september 1743	1743-09-22			https://www.dbnl.org/auteurs/auteur.php?id=moor010	moor010	Johan	Moorman	Johan Moorman	jurist/staatsman/bestuurder/politicus/advocaat	Hulst	Hulst	1696-12-22	1696-12-22			1743-09-22	1743-09-22	male	Hulst	Hulst							Achttiende Eeuw	22 december 1696	1696-12-22	22 september 1743	1743-09-22	nl		jurist/staatsman/bestuurder/politicus/advocaat	
F.N. Jansen	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=jans113	jans113	F.N.	Jansen	F.N. Jansen				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				taalkunde		
P. Stienstra	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=stie006	stie006	P.	Stienstra	P. Stienstra				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				taalkunde		
J.W.N Delteijk	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=delt001	delt001	Jacobus Wilhelmus Nicolaas	Delteijk	J.W.N Delteijk				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				secundair		
Chr. Stapelkamp	2 maart 1879	1879-03-02	Loosdrecht	Loosdrecht	31 januari 1961	1961-01-31	Groningen	Groningen	https://www.dbnl.org/auteurs/auteur.php?id=stap002	stap002	Chr.	Stapelkamp	Chr. Stapelkamp	onderwijzer (basisschool)/leraar/docent/hoogleraar	Loosdrecht	Loosdrecht	1879-03-02	1879-03-02	Groningen	Groningen	1/31/1961	1961-01-31	male	Loosdrecht	Loosdrecht			Groningen	Groningen			Twintigste Eeuw	2 maart 1879	1879-03-02	31 januari 1961	1961-01-31	nl	secundair	onderwijzer (basisschool)/leraar/docent/hoogleraar	
J.M. Willeumier-Schalij	1917	1917-xx-xx			2001	2001-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=will044	will044	Johanna Marie	Willeumier-Schalij	J.M. Schalij/J.M. Willeumier-Schalij				1917	1917-xx-xx			2001	2001-xx-xx	female									Twintigste Eeuw	1917	1917-xx-xx	2001	2001-xx-xx	nl	secundair		
Dirk Bax	17 februari 1793	1793-02-17	Rotterdam	Rotterdam	27 april 1837	1837-04-27	Rotterdam	Rotterdam	https://www.dbnl.org/auteurs/auteur.php?id=bax_001	bax_001	Dirk	Bax	Dirk Bax	herv./leraar/geref. predikant	Rotterdam	Rotterdam	1793-02-17	1793-02-17	Rotterdam	Rotterdam	1837-04-27	1837-04-27	male	Rotterdam	Rotterdam			Rotterdam	Rotterdam			Negentiende Eeuw	17 februari 1793	1793-02-17	27 april 1837	1837-04-27	nl		herv./leraar/geref. predikant	
A.P. Kieft	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=kief001	kief001	Anthonij Pieter	Kieft	A.P. Kieft				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				taalkunde		
D. van Unnik	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=unni001	unni001	D.	van Unnik	D. van Unnik				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				taalkunde		
H.L. Bezoen	19 april 1908	1908-04-19	Enschede	Enschede	2 augustus 1953	1953-08-02	Soest	Soest	https://www.dbnl.org/auteurs/auteur.php?id=bezo001	bezo001	Herman Lambertus	Bezoen	H.L. Bezoen	leraar/docent/hoogleraar	Enschede	Enschede	4/19/1908	1908-04-19	Soest	Soest	8/2/1953	1953-08-02	male	Enschede	Enschede			Soest	Soest			Twintigste Eeuw	19 april 1908	1908-04-19	2 augustus 1953	1953-08-02	nl	taalkunde	leraar/docent/hoogleraar	
H.J.A. Hissink	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=hiss001	hiss001	H.J.A.	Hissink	H.J.A. Hissink				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				secundair		
M.J. Jochems	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=joch003	joch003	M.J.	Jochems	M.J. Jochems				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				secundair		
Judi I.H. Mendels	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=mend005	mend005	Judi I.H.	Mendels	Judi I.H. Mendels				19xx	19xx-xx-xx					female									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				taalkunde		
G.A. Sybenga	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=sybe005	sybe005	G.A.	Sybenga	G.A. Sybenga				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				secundair		
F.G. Hesmerg	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=hesm002	hesm002	F.G.	Hesmerg	F.G. Hesmerg				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				taalkunde		
J.F. Hengeveld	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=heng007	heng007	J.F.	Hengeveld	J.F. Hengeveld				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				taalkunde		
C.N. Dubelaar	22 juni 1917	1917-06-22			28 oktober 2005	2005-10-28			https://www.dbnl.org/auteurs/auteur.php?id=dube002	dube002	Cornelis Nicolaas	Dubelaar	C.N. Dubelaar	leraar/docent/hoogleraar	Amsterdam	Amsterdam	6/22/1917	1917-06-22			10/28/2005	2005-10-28	male	Amsterdam	Amsterdam							Twintigste Eeuw	22 juni 1917	1917-06-22	28 oktober 2005	2005-10-28	nl	secundair/jeugdliteratuur/suriname	leraar/docent/hoogleraar	
A.M.L. de Meere	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=meer063	meer063	A.M.L.	de Meere	A.M.L. de Meere				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				taalkunde		
J. Naarding	21 juni 1903	1903-06-21	Sleen	Sleen	20 juli 1963	1963-07-20	Assen	Assen	https://www.dbnl.org/auteurs/auteur.php?id=naar001	naar001	Jan	Naarding	Hendrik-Jan Keding/J. Naarding	onderwijzer (basisschool)	Sleen	Sleen	6/21/1903	1903-06-21	Assen	Assen	7/20/1963	1963-07-20	male	Sleen	Sleen			Assen	Assen			Twintigste Eeuw	21 juni 1903	1903-06-21	20 juli 1963	1963-07-20	nl	taalkunde	onderwijzer (basisschool)	
A. van Mourik	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=mour007	mour007	A.	van Mourik	A. van Mourik				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				taalkunde		
L.H.M. Muris	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=muri001	muri001	L.H.M.	Muris	L.H.M. Muris				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				taalkunde		
Honoratius Sengers	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=seng002	seng002	Theodorus Wilhelmus Maria	Sengers	Honoratius Sengers	rk-geestelijke/kloosterling			19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				secundair	rk-geestelijke/kloosterling	
P. Maximilianus O.F.M. Cap.	12 oktober 1884	1884-10-12	Moerdijk	Moerdijk	28 oktober 1963	1963-10-28	Oosterhout	Oosterhout	https://www.dbnl.org/auteurs/auteur.php?id=maxi001	maxi001	Petrus Josephus Maximiliaan	Maximilianus O.F.M. Cap.	Max van Dun/P. Maximilianus O.F.M. Cap./P.J.M. van Dun	rk-geestelijke/kloosterling	Moerdijk	Moerdijk	1884-10-12	1884-10-12	Oosterhout	Oosterhout	10/28/1963	1963-10-28	male	Moerdijk	Moerdijk			Oosterhout	Oosterhout			Twintigste Eeuw	12 oktober 1884	1884-10-12	28 oktober 1963	1963-10-28	nl	secundair	rk-geestelijke/kloosterling	
C. Kruyskamp	31 mei 1911	1911-05-31	Rotterdam	Rotterdam	6 april 1990	1990-04-06	Leiden	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=kruy003	kruy003	Cornelis Helenus Adrianus	Kruyskamp	C. Kruyskamp		Rotterdam	Rotterdam	5/31/1911	1911-05-31	Leiden	Leiden	4/6/1990	1990-04-06	male	Rotterdam	Rotterdam			Leiden	Leiden			Twintigste Eeuw	31 mei 1911	1911-05-31	6 april 1990	1990-04-06	nl	secundair/taalkunde		
A.H. Kooyker									https://www.dbnl.org/auteurs/auteur.php?id=kooy011	kooy011	A.H.	Kooyker	A.H. Kooyker										male									19e/20e Eeuw						jeugdliteratuur		
Hendricus Sparnaay	24 mei 1891	1891-05-24	Rotterdam	Rotterdam	31 maart 1965	1965-03-31	Utrecht	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=spar002	spar002	Hendricus	Sparnaay	Hendricus Sparnaay		Rotterdam	Rotterdam	1891-05-24	1891-05-24	Utrecht	Utrecht	3/31/1965	1965-03-31	male	Rotterdam	Rotterdam			Utrecht	Utrecht			Twintigste Eeuw	24 mei 1891	1891-05-24	31 maart 1965	1965-03-31		secundair		
A.G.J. Hermans	15 augustus 1889	1889-08-15	Nevele	Nevele	25 december 1966	1966-12-25	Antwerpen	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=herm026	herm026	Anthonius Gerardus Johannes	Hermans	A.G.J. Hermans	apotheker/medicus	Nevele	Nevele	1889-08-15	1889-08-15	Antwerpen	Antwerpen	12/25/1966	1966-12-25	male	Nevele	Nevele			Antwerpen	Antwerpen			Twintigste Eeuw	15 augustus 1889	1889-08-15	25 december 1966	1966-12-25		taalkunde	apotheker/medicus	
A.M.J. van Spaendonck	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=spae002	spae002	A.M.J.	van Spaendonck	A.M.J. van Spaendonck				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				secundair		
Reind J. Elema	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=elem002	elem002	Reind J.	Elema	Reind J. Elema				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				secundair		
P.A.F. van Veen	1923	1923-xx-xx	Den Haag	Den Haag	december 1996	1996-12-xx			https://www.dbnl.org/auteurs/auteur.php?id=veen012	veen012	Pieter Arie Ferdinand	van Veen	P.A.F. van Veen		Den Haag	Den Haag	1923	1923-xx-xx			1996-12-xx	1996-12-xx	male	Den Haag	Den Haag							Twintigste Eeuw	1923	1923-xx-xx	december 1996	1996-12-xx	nl	taalkunde		
M.A.F. Ostendorf	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=oste005	oste005	M.A.F.	Ostendorf	M.A.F. Ostendorf				19xx	19xx-xx-xx					female									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				taalkunde		
J.W.F.X. de Rijk	ca. 1920	ca. 1920-xx-xx			23 november 2001	2001-11-23			https://www.dbnl.org/auteurs/auteur.php?id=rijk009	rijk009	Jan	de Rijk	J.W.F.X. de Rijk				ca. -19-0~				11/23/2001	2001-11-23	male									Twintigste Eeuw	ca. 1920	ca. 1920-xx-xx	23 november 2001	2001-11-23		secundair		
